n,en_name,local_name,region
76,Gabon,Gabon,Central Africa
80,Ghana,Ghana,West Africa
81,Gibraltar,Gibraltar,Southern Europe
82,Great Britain,Great Britain,Northern Europe
85,Grenada,Grenada,"Lesser Antilles, Caribbean"
86,Guadeloupe,Guadeloupe,"Lesser Antilles, Caribbean"
87,Guam,Guam,"Micronesia, Oceania"
88,Guatemala,Guatemala,Central America
64,Equatorial Guinea,Guinea Ecuatorial,Central Africa
90,Guinea-Bissau,Guine-Bissau,West Africa
89,Guinea,Guinee,West Africa
91,Guyana,Guyana,North Eastern South America
73,French Guiana,Guyane,Northern South America
65,Eritrea,Hagere Ertra,Eastern Africa
92,Haiti,Haiti,"Greater Antilles, Caribbean"
112,"Korea, Republic of (South Korea)",Han-guk,Eastern Asia
11,Armenia,Hayastan,Western Asia
94,Honduras,Honduras,Central America
52,Croatia,Hrvatska,Southern Europe
175,Reunion Island,Ile de la Réunion,Eastern Africa
99,Indonesia,Indonesia,Maritime South-East Asia
100,Iran (Islamic Republic of),Iran,South-Central Asia
101,Iraq,Iraq,"Middle East, Western Asia"
68,Falkland Islands,Islas Malvinas,Southern South America
104,Italy,Italia,Southern Europe
67,Ethiopia,Ityop'iya,Eastern Africa
105,Jamaica,Jamaica,"Greater Antilles, Caribbean"
207,Tanzania; officially the United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,Eastern Africa
206,Tajikistan,Jumhurii Tojikiston,Central Asia
84,Greenland,Kalaallit Nunaat,North America
34,Cambodia,Kampuchea,South-East Asia
109,Kenya,Kenya,Eastern Africa
54,Cyprus,"Kibris, Kypros","Mediterranean, Western Asia"
110,Kiribati,"Kiribati, Kiribas","Micronesia, Oceania"
115,Kyrgyzstan,Kyrgyz Respublikasy,Central Asia
116,"Lao, People's Democratic Republic",Lao,South-East Asia
117,Latvia,Latvija,Northern Europe
119,Lesotho,Lesotho,Southern Africa
120,Liberia,Liberia,West Africa
121,Libya,Libiyah,Northern Africa
122,Liechtenstein,Liechtenstein,Western Europe
123,Lithuania,Lietuva,Northern Europe
118,Lebanon,Lubnan,"Middle East, Western Asia"
124,Luxembourg,"Luxembourg, Letzebuerg",Western Europe
97,Iceland,Lyoveldio Island,Northern Europe
127,Madagascar,Madagascar,Eastern Africa
96,Hungary,Magyarorszag,Eastern Europe
126,"Macedonia, Rep. of",Makedonija,Southern Europe
128,Malawi,Malawi,Eastern Africa
129,Malaysia,Malaysia,Southeast Asia
131,Mali,Mali,West Africa
132,Malta,Malta,Southern Europe
133,Marshall Islands,Marshall Islands,"Micronesia, Oceania"
134,Martinique,Martinique,"Lesser Antilles, Caribbean"
136,Mauritius,Mauritius,Eastern Africa
137,Mayotte,Mayotte,Eastern Africa
139,"Micronesia, Federal States of",Micronesia,"Micronesia, Oceania"
62,Egypt,Misr,"Africa, Middle East"
146,Mozambique,Mocambique,Eastern Africa
140,"Moldova, Republic of",Moldova,Eastern Europe
141,Monaco,Monaco,Southern Europe
142,Mongolia,Mongol Uls,Eastern Asia
144,Montserrat,Montserrat,"Lesser Antilles, Caribbean"
135,Mauritania,Muritaniyah,West Africa
147,"Myanmar, Burma",Myanma Naingngandaw,Southeast Asia
148,Namibia,Namibia,Southern Africa
149,Nauru,Nauru,"Micronesia, Oceania"
151,Netherlands,Nederland/Holland,Western Europe
152,Netherlands Antilles,Nederlandse Antillen,Caribbean
30,Brunei Darussalam,Negara Brunei Darussalam,Southeast Asia
150,Nepal,Nepal,South-Central Asia
155,Nicaragua,Nicaragua,Central America
156,Niger,Niger,West Africa
157,Nigeria,Nigeria,West Africa
106,Japan,Nippon,Eastern Asia
158,Niue,Niue,"Polynesia, Oceania"
160,Norway,Norge,Northern Europe
159,Northern Mariana Islands,Northern Mariana Islands,"Micronesia, Oceania"
153,New Caledonia,Nouvelle-Calédonie,"Melanesia, Oceania"
14,Austria,Österreich,Western Europe
162,Pakistan,Pakistan,South-Central Asia
165,Panama,Panama,Central America
166,Papua New Guinea,Papua Niu Gini,"Maritime Southeast Asia, Melanesia, Oceania"
167,Paraguay,Paraguay,Central South America
168,Peru,Peru,Western South America
169,Philippines,Pilipinas,Southeast Asia
170,Pitcairn Island,Pitcairn Island,"Polynesia, Oceania"
171,Poland,Polska,Eastern Europe
74,French Polynesia,Polynésie Française,"Polynesia, Oceania"
172,Portugal,Portugal,Southern Europe
208,Thailand,Prathet Thai,South-East Asia
173,Puerto Rico,Puerto Rico,"Greater Antilles, Caribbean"
108,Kazakhstan,Qazaqstan,Central Asia
225,Uruguay,Republica Oriental del Uruguay,Central East South America
39,Central African Republic,Republique Centrafricaine,Central Africa
47,Democratic Republic of the Congo (Kinshasa),République Démocratique du Congo,Central Africa
48,"Congo, Republic of (Brazzaville)",République du Congo,Central Africa
211,Togo,Republique Togolaise,West Africa
176,Romania,Romania,Eastern Europe
177,Russian Federation,Rossiya,Eastern Europe - Northern Asia
178,Rwanda,Rwanda,"Eastern Africa, African Great Lakes"
180,Saint Lucia,Saint Lucia,"Lesser Antilles, Caribbean"
179,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,"Lesser Antilles, Caribbean"
181,Saint Vincent and the Grenadines,Saint-Vincent-et-les Grenadines,"Lesser Antilles, Caribbean"
78,Georgia,Sak'art'velo,Western Asia
161,Oman,Saltanat Uman,Middle East
182,Samoa,Samoa,"Polynesia, Oceania"
183,San Marino,San Marino,Southern Europe within Italy
184,Sao Tome and Principe,Sao Tome e Principe,Central Africa
203,Switzerland,"Schweiz (German), Suisse (French), Svizzera (Italian)",Western Europe
186,Senegal,Senegal,West Africa
188,Seychelles,Seychelles,Eastern Africa
2,Albania,Shqiperia,Southern Europe
189,Sierra Leone,Sierra Leone,West Africa
190,Singapore,Singapore,Southeast Asia
192,Slovenia,Slovenija,Southern Europe
191,Slovakia (Slovak Republic),Slovensko,Eastern Europe
193,Solomon Islands,Solomon Islands,"Melanesia, Oceania"
194,Somalia,Somalia,Eastern Africa
195,South Africa,South Africa,Southern Africa
196,South Sudan,South Sudan,East-Central Africa
187,Serbia,Srbija,Southern Europe
198,Sri Lanka,Sri Lanka,South-Central Asia
93,Holy See,Status Civitatis Vaticanæ,Southern Europe within Italy
228,Vatican City State (Holy See),Status Civitatis Vaticanæ,Southern Europe within Italy
71,Finland,Suomen Tasavalta,Northern Europe
200,Suriname,Suriname,North-Eastern South America
204,"Syria, Syrian Arab Republic",Suriyah,"Middle East, Western Asia"
202,Sweden,Sverige,Northern Europe
201,Swaziland,Swaziland,Southern Africa
205,Taiwan (Republic of China),T'ai-wan,Eastern Asia
40,Chad,Tchad,Central Africa
75,French Southern Territories,Terres Australes et Antarctiques Françaises,"Southern South America, Antarctic"
77,Gambia,The Gambia,West Africa
60,East Timor (Timor-Leste),Timor,South-East Asia
210,Timor-Leste (East Timor),Timor,Maritime South-East Asia
212,Tokelau,Tokelau,Oceania/Australia
213,Tonga,Tonga,"Polynesia, Oceania"
214,Trinidad and Tobago,"Trinidad, Tobago","Northern South America, Caribbean"
215,Tunisia,Tunis,Northern Africa
216,Turkey,Turkiye,"Southeastern Europe, Western Asia"
217,Turkmenistan,Turkmenistan,Central Asia
218,Turks and Caicos Islands,Turks and Caicos Islands,"Caribbean, parts of the Bahamas island chain."
219,Tuvalu,Tuvalu,"Polynesia, Oceania"
220,Uganda,Uganda,Eastern Africa
221,Ukraine,Ukrayina,Eastern Europe
223,United Kingdom,United Kingdom,Northern Europe
224,United States,United States,North America
226,Uzbekistan,Uzbekiston Respublikasi,Central Asia
227,Vanuatu,Vanuatu,"Melanesia, Oceania"
229,Venezuela,Venezuela,Northern South America
230,Vietnam,Viet Nam,South-East Asia
232,Virgin Islands (U.S.),Virgin Islands,"Lesser Antilles, Caribbean"
231,Virgin Islands (British),Virgin Islands (British),"Lesser Antilles, Caribbean"
233,Wallis and Futuna Islands,Wallis et Futuna,"Polynesia, Oceania"
95,Hong Kong,Xianggang,Eastern Asia
103,Israel,Yisra'el,"Middle East, Western Asia"
236,Zambia,Zambia,Eastern Africa
42,China,Zhong Guo,Eastern Asia
237,Zimbabwe,Zimbabwe,Eastern Africa
