group4/q1/a,group4/q1/b,group4/q1/c,group4/q1/d,group4/q1/e,group4/q1/f,group4/q1/g,group4/q1a,group4/q2/a,group4/q2/b,group4/q2/c,group4/q2/d,group4/q2/e,group4/q2/f,group4/q2a,group5/q3,group5/q4,group5/q5,group5/q6,group5/q7,group5/q8,group5/group6/q9,group5/group6/q10,group5/group7/q11,group5/group7/q12,group5/group7/q13,group5/group7/q14,group5/group8/q15,group5/group8/q16,group5/group8/q17,group5/group8/q17a,group5/group8/q18,group5/group8/q19,group5/group8/q20,meta/instanceID,_uuid,_submission_time,_tags,_notes,_version,_duration,_submitted_by
True,True,True,True,True,False,False,n/a,True,True,True,True,False,False,n/a,c5,d1,e4,f5,"English, Maori, Pasifika, Asian",d1,"The key barriers are funding, culturally appropriateness and a one size fits all approach",Funders to be more realistic about the costs to provide quality traaining opposed to the one size fits or and culturally appropriate trainers,d1,More user friendly and developed in hope that more health professionals become aware of how to influence behaviour change through a simple memory aid i.e. ABC,Users of the guidelines have to download copies opposed to the government funded hard copies at no cost.,Ensure wider section of the community have easy access to copies,65,women,b9,Trainer/educator,a17,d2,n/a,uuid:375a5ba9-970e-4526-aae2-1a56231a68cc,375a5ba9-970e-4526-aae2-1a56231a68cc,2014-10-26T10:04:39,,,None,,None
True,True,False,True,True,False,False,n/a,True,False,False,False,False,False,n/a,c2,d2,e1,f2,Spanish,d2,No formal training only sporadic one day courses of very poor quality fron health Ministery,"Online courses, electronic materials",d1,general guiding ok,specific skills nedded are not considered,define the necesary training for trating tobacco use,56,man,b1,n/a,a228,d1,an spanish language course on line I can help with the translation,uuid:be82cc4d-1974-4841-af13-89323cf146b3,be82cc4d-1974-4841-af13-89323cf146b3,2014-10-26T19:44:28,,,None,,None
True,True,False,False,True,False,False,n/a,True,False,False,False,False,True,CONDUCT PREVENTION AND QUITTING CLINICS,c1,d1,e3,f4,"LOCAL LANGUAGE (HEBREW), OTHERS AS NEEDED",d1,"MANY PEOPLE ARE NOT AWARE OF RISKS. OTHERS ARE AWARE BUT STILL ARE  NOT RECEPTIVE. THOSE THAT ARE, AND LOOK FOR HELP, HAVE A VERY GOOD CHANCE OF QUITTING","A LOT OF ADVERTISEMENT. PENALTIES FOR SELLING TOBACCO PRODUCTS. HEALTH CARE AND PARA MEDICAL (SECRETARIES, NURSES) SHOULD ALWAYS ASK, ADVICE, ETC., AT EVERY OPPORTUNITY.",d3,I DO NOT KNOW IF THEY EXIST. I WILL FIND OUT. BUT THEY SHOULD BE FOLLOWING THE TRAINING PROGRAM I UNDERWENTL.,SEE ABOVE,"AGAIN, TALK, ASK, ADVICE, ETC",75,man,b1,n/a,a234,d2,n/a,uuid:84bbf6d9-9999-4213-b26c-a907a585a06f,84bbf6d9-9999-4213-b26c-a907a585a06f,2014-10-26T19:51:23,,,None,,None
True,False,False,False,True,False,False,n/a,True,True,True,True,False,False,n/a,c1,d1,e3,f4,n/a,d1,"Providers too busy, switch to EMRs which make fax to quit programs obsolete, inconsistent access to medications",NA,d1,comprehensive and evidenced based,Not easy to operationalize,more about how to implement the guidelines,54,women,b1,n/a,a225,d1,n/a,uuid:3ea0a1f3-8a83-4a6d-ab21-a945ea634428,3ea0a1f3-8a83-4a6d-ab21-a945ea634428,2014-10-26T22:23:40,,,None,,None
False,False,False,False,False,False,True,I have been in this field for many decades and originated the treatment programmes in Australia,True,True,True,True,True,False,n/a,c1,d2,e4,f4,English,d1,Australia would need a broader national mechanism to train health workers in remote areas.,funder for wider national and international teachin,d1,The guidelines were developed by our unit,As yet need to be widely deseminated,wide desemination,66,women,b9,Physiologist,a22,d2,n/a,uuid:04c6ae9c-6c05-40a8-b84e-00b575958209,04c6ae9c-6c05-40a8-b84e-00b575958209,2014-10-27T00:08:54,,,None,,None
False,False,False,False,True,False,False,n/a,True,True,True,True,True,False,n/a,c1,d1,e2,f2,spanish,d2,no education from medical school onwrd,drugs,d2,actualize older s,still not providing treatment wih drugs  as a rutine,actualize all ( 2005),73,man,b1,n/a,a48,d3,n/a,uuid:5ceab083-47e2-42f4-a9ab-1ccff4938981,5ceab083-47e2-42f4-a9ab-1ccff4938981,2014-10-27T01:08:36,,,None,,None
True,True,False,True,False,False,False,n/a,True,True,True,True,False,False,n/a,c1,d2,e1,f2,English,d2,Smokeless tobacco use is predominant is is culturally accepted. Hence awareness about ill-effects of tobacco and need for a tobacco treatment not yet present. Healthcare providers not seeking trainings as they do not feel that they need this added skill/knowledge.,Standardised protocols for training with special focus on smokeless tobacco,d1,At least there is a mention of tobacco treatment in the tobacco control programmes,Tobacco treatment is located at the district level and yet in the pilot stage. Decentralisation is needed.,Decentralisation with added resources - human as well as financial,40,man,b1,n/a,a32,d2,n/a,uuid:d9eb6857-366b-472a-978d-94af985ac5d8,d9eb6857-366b-472a-978d-94af985ac5d8,2014-10-27T04:24:42,,,None,,None
True,True,True,False,True,False,False,n/a,True,True,True,True,True,False,n/a,c2,d3,e2,f3,"English, Malay",d3,"There is increasing number of shisha smokers among the youngsters, but we have very little local evidence on the magnitude of this problem. We also have government quit smoking clinics, but the effectiveness of this program is not known. Our smokers prevalence is on the rise every year.","Basic training for smoking cessation, with availability of the treatment in the country would definitely help to assist smokers to quit. Training should be instilled from medical school or even at high school level. Smoke free areas and facilities should be expanded and law enforced.",d1,Simple,Very slow to review and update,Quick revision and updating to keep up with what is happening around the world and updates on new treatment,44,women,b1,n/a,a127,d2,n/a,uuid:1c6fee07-0457-4c28-bf74-4fffabc2f531,1c6fee07-0457-4c28-bf74-4fffabc2f531,2014-10-27T04:41:39,,,None,,None
True,False,False,False,True,False,False,n/a,True,False,False,True,False,False,n/a,c5,d1,e2,f3,ENGLISH,d2,THE HIGH COST OF NRT,HAVING EXPERT TRAINERS,d3,NOT SURE,UNAVALIBILITY OF TOBACCO CESSATION CLINIC,NEED TO SET A CLEAR GUIDELINE AND TO ADDRESS TOBACCO PROBLEMS FOR EVERY PATIENTS,35,man,b2,n/a,a183,d2,n/a,uuid:cc019277-d999-4058-8cd1-f484f758dbdf,cc019277-d999-4058-8cd1-f484f758dbdf,2014-10-27T04:48:12,,,None,,None
True,True,True,False,True,False,False,n/a,True,True,True,True,True,False,n/a,c2,d3,e2,f2,"English, Malay",d3,Our local clinical practice guideline on treatment of tobacco dependence is slow for revision,"Basic training for smoking cessation for medical students, young doctors and even high school levers",d1,Simple and comprehensive,Slow in revision and updating,To expedite the updating and revision of our local guideline every 2 years,44,women,b1,n/a,a127,d2,n/a,uuid:317c99d8-3668-4c81-aaea-d486ebca53b0,317c99d8-3668-4c81-aaea-d486ebca53b0,2014-10-27T04:49:00,,,None,,None
True,True,True,False,True,False,False,n/a,True,True,False,False,False,False,n/a,c5,d1,e3,f4,"hebreo ,english, russien, etiopein, arabe",d3,less time to ensure the process of cessation,mor policy against smokers in close places,d3,i dont know,i dont know,i dont know,54,women,b2,n/a,a18,d2,n/a,uuid:d0d7356a-9957-4468-aad6-0e523dcdbd7c,d0d7356a-9957-4468-aad6-0e523dcdbd7c,2014-10-27T09:44:59,,,None,,None
False,False,False,False,True,False,False,n/a,True,True,False,True,True,False,n/a,c5,d1,e3,f4,Hebrew,d2,"no possibility for individuel therapy (only group), NRT is very expensive and not covered, no treatment options that are modified to suit specific populations such as young adults, mentelly ill, pregnant woman.","more free or insurance covered treatment options (including individual, phone, and NRT). Basic Training for all health providers in medical schools.",d2,there is no national guidelines,there is no national guidelines,there is no national guidelines,38,women,b1,n/a,a234,d1,n/a,uuid:2e3c3114-688d-435c-b7fe-f3ba9f28884c,2e3c3114-688d-435c-b7fe-f3ba9f28884c,2014-10-27T11:38:16,,,None,,None
True,True,False,True,False,False,False,n/a,False,True,False,False,True,False,n/a,c1,d2,e1,f1,French,d2,My country have a lot of Challenges to mainstream tobacco treatment in Health System,Tools and books and online ressource center,d3,Not sure,Not sure,Not sure,41,man,b1,n/a,a40,d2,n/a,uuid:71d832b9-0b4d-402a-8442-6f6a567639de,71d832b9-0b4d-402a-8442-6f6a567639de,2014-10-27T13:11:33,,,None,,None
True,False,False,False,True,False,False,n/a,True,True,False,False,False,False,n/a,c1,d1,e2,f4,"hebrew, arabic",d1,"reaching to low cosio-economic population, the lack of involvment of the goverment in the training",providing training through the govermnet/ academy and not through the healteh services,d3,not sure there is guidelines,not sure there is guidelines,not sure there is guidelines,34,man,b3,n/a,a234,d2,n/a,uuid:0a8b9d1c-4c1b-4464-a32b-9d4ef000f005,0a8b9d1c-4c1b-4464-a32b-9d4ef000f005,2014-10-27T14:35:48,,,None,,None
True,True,True,False,True,False,False,n/a,True,True,True,False,False,False,n/a,c5,d1,e4,f4,"Mostly English, possibly Spanish",d1,By in from health professionals,"licensing renewal testing to involved tobacco questions, that would get providers interested",d1,Easily accessible,Have not updated since 2008,Update them to include changes that have occurred in the past 6 years,56,women,b9,Certified Tobacco Treatment Specialist,a225,d1,On line modules or a link to AHEC who offer various on-line tobacco modules,uuid:1675f1a7-0d64-45a0-9c10-c25098a5ce7d,1675f1a7-0d64-45a0-9c10-c25098a5ce7d,2014-10-27T14:53:15,,,None,,None
False,True,False,True,True,False,False,n/a,True,True,True,True,True,False,n/a,c2,d1,e3,f4,spanish,d2,"lack of financial incentives, lack of team work","on line courses in spanish,",d1,"it´s evidence based, it´s periodically updated",it´s not completly user friendly,widen the range of spcialists involved in the development,54,man,b1,n/a,a18,d1,"develope materials in spanish,",uuid:9b1e0a79-7481-4b7c-a6f2-101f95126051,9b1e0a79-7481-4b7c-a6f2-101f95126051,2014-10-27T16:37:13,,,None,,None
True,False,False,False,True,False,False,n/a,True,True,True,True,True,False,n/a,c1,d1,e4,f4,"English, Spanish",d2,Reimbursement and poor/confusing coverage for cessation medications,More ongoing continuing education offerings (this has gotten much better in the recent past),d1,They are evidence-based,They have not been updated in several years,Updating every 5 years,58,women,b9,Nurse Practitioner,a225,d1,Better website/access to information,uuid:73e8596d-6728-4cf5-8e99-21178e5636da,73e8596d-6728-4cf5-8e99-21178e5636da,2014-10-27T20:31:43,,,None,,None
True,True,False,True,True,False,False,n/a,True,False,False,False,False,False,n/a,c5,d1,e4,f5,Mostly English in my area of the United States.  Spanish as a secondary.,d1,The biggest barrier in my area is the availablity for NRT and cessation medications for those unable to pay.,resource for funds to treat tobacco users more efficiently,d3,That tobacco users be treated by specially trained specialists,"It is not a ""country"" guidline that I  know of, but would like to it recognized",The resources for tobacco treatment specialists to effectively treat their clients.,64,women,b9,Respiratory therapist; CTTS-M,a225,d1,n/a,uuid:b5344f87-e9af-4a7c-8d36-8da636aed873,b5344f87-e9af-4a7c-8d36-8da636aed873,2014-10-27T21:10:37,,,None,,None
False,False,False,False,True,False,False,n/a,True,True,True,False,True,False,n/a,c4,d1,e2,f2,"English, Te Reo Maori",d2,It's hard to be taken seriously; I think professional certification would help,Ability to travel to overseas conferences and certification in tobacco treatment.,d1,Very quick and easy for health professionals to grasp,nothing,Perhaps adding gaining certification,56,man,b8,n/a,a22,d1,I live in New Zealand (not Australia) and it wasn't listed on your survey. I'm not sure how you could better serve us.,uuid:abcf06c8-26e4-46d1-9cc7-64ded6092a97,abcf06c8-26e4-46d1-9cc7-64ded6092a97,2014-10-28T07:41:13,,,None,,None
True,True,True,True,True,False,False,n/a,True,True,True,True,True,False,n/a,c2,d1,e3,f3,Malay and English,d2,We have lack of awareness for smokers to go to treatment providers and lack of training opportunities for prviders. Also our providers are not necessarily working together,We need more trainers - we have at present (Malaysia) 3/4 trained providers to give out proper training,d1,That we have a guideline,"It is outdated, not inclusive eg. it mandates medical drs to lead when not many of us are trained, it is not inclusive eg. dentists are not included in this guideline",Update it and be more inclusive to all treatment health providers,36,man,b1,n/a,a127,d3,n/a,uuid:57f966d2-25a2-46c4-9c90-2e727b9e5e78,57f966d2-25a2-46c4-9c90-2e727b9e5e78,2014-10-28T09:22:36,,,None,,None
True,True,True,False,False,False,False,n/a,True,False,False,False,True,False,n/a,c5,d1,e3,f6,HEBREW,d1,NO PROBLEMS,MORE CO OP WITH OTHER CUNTRYS,d3,NOT SURE,DONT KNOW,NOT SURE,49,man,b9,X RAY TEC,a234,d2,n/a,uuid:99be358c-0571-43c6-b707-021a9eb1aac7,99be358c-0571-43c6-b707-021a9eb1aac7,2014-10-28T14:14:55,,,None,,None
True,True,True,False,True,False,False,n/a,True,True,False,True,False,False,n/a,c1,d1,e2,f3,English is OK,d2,"Few evidence-based trearments for Aboriginal smokers. Limited access to oral forms of NRT for pregnant smokers. No access to subsidised combined forms of NRT, or oral NRT. LImited amounts of pharmacotherapy available per annum. No free face-to-face cessation services. Many GPs have no training, and give misinformation. Pharmacists also give wrong information.",training should be mandatory and provided regionally. free national face-to-face services. Free access to pharmacotherapy relating to evidence-base.,d3,Not sure how you would classigy these guideline as produced by the Royal Australian College of GPs. They are evidence-based,Guideline recommendations are not reflected in policy. They are not adopted universally,Policy and training should be based on the guidelines,61,women,b1,n/a,a22,d2,n/a,uuid:76ca7b9e-8289-4721-ac3e-a28a2907f8e1,76ca7b9e-8289-4721-ac3e-a28a2907f8e1,2014-10-28T23:57:21,,,None,,None
True,True,True,False,True,False,False,n/a,True,True,True,False,False,False,n/a,c1,d1,e2,f2,"English, Greek, Italian, French, Japanese",d1,In Australia we have very limited funded positions to deliver tobacco treatment,In Australia we need to have tobacco treatment specialists recognised for their evidence based expertise and if they were given a Medicare item number to provide service then they would become more employable by organisations as there would be funding attached to the service,d1,This guide is easy to use and I can provide a copy to clients or other health professionals to reinforce recommendations,"We need to include greater depth for ""hard to treat"" clients","Add a section for ""acceptable variations"" to medical treatments if the general recommendations are not working",46,women,b2,n/a,a22,d2,n/a,uuid:6dc22bbc-dc75-4369-b45a-b4f214d85e63,6dc22bbc-dc75-4369-b45a-b4f214d85e63,2014-10-29T02:40:57,,,None,,None
True,True,False,False,True,False,False,n/a,True,True,True,False,False,False,n/a,c2,d1,e3,f3,"English, Cantonese, Mandarin, Vietnamese, Arabic, Hindi",d1,"Cost, cultural barriers",Education within healthcare qualifications rather than post,d1,REcognition of various paths to quitting,Limited access to pharmacotherapies for those economically disadvantaged,"free to low cost all NRT, improved accessibility in prisons.",50,women,b9,Drug and alcohol counsellor,a22,d2,n/a,uuid:19375b2d-b35b-4fa2-b8ba-00c1b7df3fd7,19375b2d-b35b-4fa2-b8ba-00c1b7df3fd7,2014-10-29T02:44:29,,,None,,None
False,False,False,False,True,False,False,n/a,False,True,True,False,False,False,n/a,c5,d1,e3,f3,"English, Arabic, Chinese, Korean, Vietnamese",d1,funding,compulsory components in all undergraduate nursing and medical curricula,d1,eveidence based practice,insufficient focus on behavioural strategies,more focus on behavioural strategies,65,man,b2,n/a,a22,d2,n/a,uuid:5dada0c2-7f65-42a4-8d7a-8bbd63f5359f,5dada0c2-7f65-42a4-8d7a-8bbd63f5359f,2014-10-29T03:06:19,,,None,,None
False,False,False,False,True,False,False,n/a,True,True,False,False,False,False,n/a,c5,d2,e2,f2,ENGLISH and PRIMARY LANGUAGE of Community in which training is to be delivered to clients.,d2,Regular evidence basis support for treaters,Assistance for the mentally ill,d1,very little as Mental health is not a focus whiilst mental health clients are over represented.,Mental health is not a focus whiilst mental health clients are over represented.,Mental health as the focus whiilst mental health clients are over represented.,49,man,b1,n/a,a22,d2,n/a,uuid:f1d543e8-3c13-4164-919c-7220e8f72120,f1d543e8-3c13-4164-919c-7220e8f72120,2014-10-29T03:28:52,,,None,,None
True,False,False,False,False,False,False,n/a,True,False,False,True,False,False,n/a,c5,d1,e4,f5,greek arabic chinese,d3,availability of prescription drugs only from doctors and not pharmacists or toehr health professionals,more training with CBT in pharmacy,d1,certified by RACGP,not enough input from PSA,more input from PSA,53,man,b4,n/a,a22,d2,n/a,uuid:aad33caf-ca8e-46da-a00d-50b26c8e99cf,aad33caf-ca8e-46da-a00d-50b26c8e99cf,2014-10-29T07:31:38,,,None,,None
False,False,False,False,True,False,False,n/a,True,False,False,False,False,False,n/a,c5,d1,e2,f3,"Hebrew, Arabic, Russian",d1,The course was almost without practic training. how to lead a groupe to success- was missing.,"professional information.  to bild committed and success group. (i didnt get it from the tabbaco training, i learn it by privet sources",d1,there are few opptiones for combained medicine for specific paithentes,the health maintenance organization doesnt  cooperate giving the medicen in privet courses although the ministry of health confirm it.,open the ability to give subsidized medicine to whom are participant in any Tabbaco quit privete consultation,35,women,b3,n/a,a234,d2,n/a,uuid:89e9bf3f-be8b-4b37-815c-0348cf754676,89e9bf3f-be8b-4b37-815c-0348cf754676,2014-10-29T10:15:54,,,None,,None
